Total,,2010,162444
Total,,2011,170168
Total,,2012,176611
Total,,2013,183656
Total,,2014,192310
Total,,2015,194000
Total,,2016,194194
Total,,2017,206392
Total,,2018,237482
Total,,2019,281659
Total,,2020,311675
Total,,2021,334497
